[1], 	train loss: 0.010175	acc: 0.62057
[1], 	val loss: 0.0096074	acc: 0.70608
[2], 	train loss: 0.0091058	acc: 0.6858
[2], 	val loss: 0.0089197	acc: 0.70946
[3], 	train loss: 0.0083708	acc: 0.72531
[3], 	val loss: 0.0091719	acc: 0.70946
[4], 	train loss: 0.0078724	acc: 0.74608
[4], 	val loss: 0.0086805	acc: 0.73649
[5], 	train loss: 0.0077151	acc: 0.76192
[5], 	val loss: 0.0085651	acc: 0.74831
[6], 	train loss: 0.0074115	acc: 0.76907
[6], 	val loss: 0.0086026	acc: 0.74155
[7], 	train loss: 0.0075149	acc: 0.76345
[7], 	val loss: 0.0079966	acc: 0.76182
[8], 	train loss: 0.0072673	acc: 0.77861
[8], 	val loss: 0.0076663	acc: 0.80068
[9], 	train loss: 0.0070035	acc: 0.78627
[9], 	val loss: 0.0075937	acc: 0.77703
[10], 	train loss: 0.0068324	acc: 0.78968
[10], 	val loss: 0.0086859	acc: 0.73142
[11], 	train loss: 0.0066079	acc: 0.80228
[11], 	val loss: 0.007315	acc: 0.78547
[12], 	train loss: 0.0067803	acc: 0.7924
[12], 	val loss: 0.0076035	acc: 0.78716
[13], 	train loss: 0.006568	acc: 0.80722
[13], 	val loss: 0.0078636	acc: 0.76182
[14], 	train loss: 0.0066282	acc: 0.79973
[14], 	val loss: 0.0072803	acc: 0.79561
[15], 	train loss: 0.0064634	acc: 0.80926
[15], 	val loss: 0.0075941	acc: 0.78378
[16], 	train loss: 0.0063036	acc: 0.81097
[16], 	val loss: 0.0078945	acc: 0.74155
[17], 	train loss: 0.0061738	acc: 0.81676
[17], 	val loss: 0.0075038	acc: 0.79561
[18], 	train loss: 0.0061936	acc: 0.81182
[18], 	val loss: 0.0075663	acc: 0.80405
[19], 	train loss: 0.0062787	acc: 0.81012
[19], 	val loss: 0.0073848	acc: 0.78041
[20], 	train loss: 0.0062584	acc: 0.8125
[20], 	val loss: 0.0079917	acc: 0.77027
[21], 	train loss: 0.0061727	acc: 0.81778
[21], 	val loss: 0.0082846	acc: 0.74324
[22], 	train loss: 0.0061891	acc: 0.8171
[22], 	val loss: 0.0088408	acc: 0.76182
[23], 	train loss: 0.0058311	acc: 0.82885
[23], 	val loss: 0.0072205	acc: 0.78547
[24], 	train loss: 0.0059996	acc: 0.82272
[24], 	val loss: 0.00886	acc: 0.77196
[25], 	train loss: 0.0059016	acc: 0.83294
[25], 	val loss: 0.0077861	acc: 0.77872
[26], 	train loss: 0.0057587	acc: 0.83055
[26], 	val loss: 0.0083916	acc: 0.77365
[27], 	train loss: 0.0055963	acc: 0.83975
[27], 	val loss: 0.0079888	acc: 0.77534
[28], 	train loss: 0.0055477	acc: 0.83839
[28], 	val loss: 0.0074083	acc: 0.80574
[29], 	train loss: 0.005312	acc: 0.84877
[29], 	val loss: 0.0085242	acc: 0.77703
[30], 	train loss: 0.0054975	acc: 0.84315
[30], 	val loss: 0.0082498	acc: 0.79223
[31], 	train loss: 0.0055715	acc: 0.83498
