[1], 	train loss: 0.010304	acc: 0.59401
[1], 	val loss: 0.0096748	acc: 0.69595
[2], 	train loss: 0.0090074	acc: 0.69567
[2], 	val loss: 0.0084115	acc: 0.75676
[3], 	train loss: 0.0082318	acc: 0.74319
[3], 	val loss: 0.0080198	acc: 0.77703
[4], 	train loss: 0.0077151	acc: 0.76345
[4], 	val loss: 0.0073513	acc: 0.78378
[5], 	train loss: 0.0072793	acc: 0.78134
[5], 	val loss: 0.0066549	acc: 0.81926
[6], 	train loss: 0.0067698	acc: 0.79956
[6], 	val loss: 0.0064359	acc: 0.80405
[7], 	train loss: 0.0067533	acc: 0.80279
[7], 	val loss: 0.0084403	acc: 0.75845
[8], 	train loss: 0.0065476	acc: 0.80943
[8], 	val loss: 0.0069252	acc: 0.80405
[9], 	train loss: 0.0060266	acc: 0.82902
[9], 	val loss: 0.0076187	acc: 0.79054
[10], 	train loss: 0.0062416	acc: 0.82084
[10], 	val loss: 0.0072863	acc: 0.80574
[11], 	train loss: 0.0056893	acc: 0.84537
[11], 	val loss: 0.0066888	acc: 0.80405
[12], 	train loss: 0.0054143	acc: 0.85286
[12], 	val loss: 0.007464	acc: 0.79392
[13], 	train loss: 0.0055078	acc: 0.84826
[13], 	val loss: 0.0075375	acc: 0.77872
[14], 	train loss: 0.0052662	acc: 0.85371
[14], 	val loss: 0.0073441	acc: 0.78378
[15], 	train loss: 0.0050857	acc: 0.86172
[15], 	val loss: 0.0059347	acc: 0.83615
[16], 	train loss: 0.0050232	acc: 0.86359
[16], 	val loss: 0.0077764	acc: 0.79223
[17], 	train loss: 0.0049817	acc: 0.85916
[17], 	val loss: 0.007038	acc: 0.80405
[18], 	train loss: 0.0048557	acc: 0.86819
[18], 	val loss: 0.0072283	acc: 0.82095
[19], 	train loss: 0.0048717	acc: 0.86546
[19], 	val loss: 0.0083413	acc: 0.7652
[20], 	train loss: 0.0044897	acc: 0.88011
[20], 	val loss: 0.0076194	acc: 0.78547
[21], 	train loss: 0.0045323	acc: 0.88232
[21], 	val loss: 0.0085412	acc: 0.77703
[22], 	train loss: 0.0043293	acc: 0.88607
[22], 	val loss: 0.010739	acc: 0.77365
[23], 	train loss: 0.0043788	acc: 0.88777
[23], 	val loss: 0.009135	acc: 0.76858
[24], 	train loss: 0.0043753	acc: 0.88232
[24], 	val loss: 0.0075817	acc: 0.78041
[25], 	train loss: 0.0043084	acc: 0.88828
[25], 	val loss: 0.0072812	acc: 0.82264
[26], 	train loss: 0.0041453	acc: 0.8951
[26], 	val loss: 0.01194	acc: 0.75507
[27], 	train loss: 0.004276	acc: 0.88403
[27], 	val loss: 0.0087989	acc: 0.79223
[28], 	train loss: 0.0041505	acc: 0.89135
[28], 	val loss: 0.0082715	acc: 0.78885
[29], 	train loss: 0.0040438	acc: 0.89561
[29], 	val loss: 0.010072	acc: 0.78716
[30], 	train loss: 0.0037777	acc: 0.90429
[30], 	val loss: 0.0079914	acc: 0.79561
[31], 	train loss: 0.0037765	acc: 0.90497
[31], 	val loss: 0.011059	acc: 0.79223
[32], 	train loss: 0.0036744	acc: 0.90531
[32], 	val loss: 0.011008	acc: 0.77365
[33], 	train loss: 0.0038484	acc: 0.90344
[33], 	val loss: 0.013448	acc: 0.75338
[34], 	train loss: 0.0036749	acc: 0.90634
[34], 	val loss: 0.010668	acc: 0.77872
[35], 	train loss: 0.0036479	acc: 0.90923
[35], 	val loss: 0.013848	acc: 0.74493
[36], 	train loss: 0.0034307	acc: 0.91587
[36], 	val loss: 0.010952	acc: 0.76182
[37], 	train loss: 0.0035299	acc: 0.91042
[37], 	val loss: 0.010578	acc: 0.77534
[38], 	train loss: 0.0035277	acc: 0.91213
[38], 	val loss: 0.008953	acc: 0.7973
[39], 	train loss: 0.0035176	acc: 0.9123
[39], 	val loss: 0.010285	acc: 0.79899
[40], 	train loss: 0.0033659	acc: 0.91706
[40], 	val loss: 0.013859	acc: 0.75
[41], 	train loss: 0.0031354	acc: 0.91996
[41], 	val loss: 0.012013	acc: 0.73986
[42], 	train loss: 0.0033914	acc: 0.91655
[42], 	val loss: 0.0089598	acc: 0.76014
[43], 	train loss: 0.003327	acc: 0.91536
[43], 	val loss: 0.012147	acc: 0.75845
[44], 	train loss: 0.0032751	acc: 0.91979
[44], 	val loss: 0.011752	acc: 0.73818
[45], 	train loss: 0.0033199	acc: 0.91962
[45], 	val loss: 0.010258	acc: 0.76351
[46], 	train loss: 0.0032693	acc: 0.91945
[46], 	val loss: 0.011656	acc: 0.78041
[47], 	train loss: 0.0031521	acc: 0.92388
[47], 	val loss: 0.013491	acc: 0.76689
[48], 	train loss: 0.0032029	acc: 0.91877
[48], 	val loss: 0.016771	acc: 0.74493
[49], 	train loss: 0.003347	acc: 0.91723
[49], 	val loss: 0.01068	acc: 0.80068
[50], 	train loss: 0.002956	acc: 0.92473
[50], 	val loss: 0.010442	acc: 0.78209
[51], 	train loss: 0.0076249	acc: 0.77963
[51], 	val loss: 0.0089735	acc: 0.74831
[52], 	train loss: 0.0067375	acc: 0.80399
[52], 	val loss: 0.0078198	acc: 0.76351
[53], 	train loss: 0.0062067	acc: 0.82204
[53], 	val loss: 0.008187	acc: 0.74324
[54], 	train loss: 0.0064686	acc: 0.81642
[54], 	val loss: 0.0076288	acc: 0.77872
[55], 	train loss: 0.0064713	acc: 0.81318
[55], 	val loss: 0.0083015	acc: 0.75338
[56], 	train loss: 0.0059034	acc: 0.83345
[56], 	val loss: 0.0081843	acc: 0.75845
[57], 	train loss: 0.0060078	acc: 0.83191
[57], 	val loss: 0.0077402	acc: 0.77703
[58], 	train loss: 0.0060485	acc: 0.83106
[58], 	val loss: 0.0086435	acc: 0.76182
[59], 	train loss: 0.0058404	acc: 0.8343
[59], 	val loss: 0.0086778	acc: 0.74155
[60], 	train loss: 0.0061567	acc: 0.82067
[60], 	val loss: 0.0081195	acc: 0.77534
[61], 	train loss: 0.0052683	acc: 0.86614
[61], 	val loss: 0.0079955	acc: 0.78041
[62], 	train loss: 0.0048296	acc: 0.86938
[62], 	val loss: 0.0087066	acc: 0.77872
[63], 	train loss: 0.0044693	acc: 0.88198
[63], 	val loss: 0.0077796	acc: 0.78378
[64], 	train loss: 0.0042482	acc: 0.88794
[64], 	val loss: 0.00843	acc: 0.78041
[65], 	train loss: 0.00413	acc: 0.89373
[65], 	val loss: 0.0091368	acc: 0.79392
[66], 	train loss: 0.0040805	acc: 0.89016
[66], 	val loss: 0.0084325	acc: 0.77872
[67], 	train loss: 0.0040703	acc: 0.89646
[67], 	val loss: 0.0086929	acc: 0.76858
[68], 	train loss: 0.0040562	acc: 0.89731
[68], 	val loss: 0.011041	acc: 0.73986
[69], 	train loss: 0.0038868	acc: 0.90225
[69], 	val loss: 0.01098	acc: 0.76689
[70], 	train loss: 0.0040573	acc: 0.89373
[70], 	val loss: 0.0099741	acc: 0.75
[71], 	train loss: 0.0037	acc: 0.90838
[71], 	val loss: 0.016482	acc: 0.73311
[72], 	train loss: 0.0037627	acc: 0.90548
[72], 	val loss: 0.0093662	acc: 0.78041
[73], 	train loss: 0.0036685	acc: 0.90463
[73], 	val loss: 0.012343	acc: 0.73818
[74], 	train loss: 0.0037507	acc: 0.89969
[74], 	val loss: 0.013305	acc: 0.72804
[75], 	train loss: 0.0036459	acc: 0.9014
[75], 	val loss: 0.012549	acc: 0.72466
[76], 	train loss: 0.0036484	acc: 0.90804
[76], 	val loss: 0.012222	acc: 0.74493
[77], 	train loss: 0.0032544	acc: 0.9174
[77], 	val loss: 0.011579	acc: 0.75676
[78], 	train loss: 0.0033321	acc: 0.91604
[78], 	val loss: 0.010534	acc: 0.7348
[79], 	train loss: 0.0033432	acc: 0.91485
[79], 	val loss: 0.012478	acc: 0.73986
[80], 	train loss: 0.003554	acc: 0.91127
[80], 	val loss: 0.012746	acc: 0.72804
[81], 	train loss: 0.0034617	acc: 0.91485
[81], 	val loss: 0.01194	acc: 0.77027
[82], 	train loss: 0.0033805	acc: 0.91894
[82], 	val loss: 0.014054	acc: 0.72973
[83], 	train loss: 0.0033056	acc: 0.92013
[83], 	val loss: 0.015614	acc: 0.72128
[84], 	train loss: 0.0034429	acc: 0.91638
[84], 	val loss: 0.014339	acc: 0.71622
[85], 	train loss: 0.0033409	acc: 0.91655
[85], 	val loss: 0.014765	acc: 0.71453
[86], 	train loss: 0.0033206	acc: 0.91979
[86], 	val loss: 0.014408	acc: 0.71284
[87], 	train loss: 0.0032362	acc: 0.9186
[87], 	val loss: 0.012044	acc: 0.75845
[88], 	train loss: 0.0031029	acc: 0.92268
[88], 	val loss: 0.016814	acc: 0.73142
[89], 	train loss: 0.0031589	acc: 0.92268
[89], 	val loss: 0.014511	acc: 0.7348
[90], 	train loss: 0.0031623	acc: 0.92064
[90], 	val loss: 0.014003	acc: 0.71622
[91], 	train loss: 0.0031779	acc: 0.91945
[91], 	val loss: 0.012637	acc: 0.75169
[92], 	train loss: 0.002999	acc: 0.92098
[92], 	val loss: 0.015731	acc: 0.72804
[93], 	train loss: 0.0030534	acc: 0.92609
[93], 	val loss: 0.01929	acc: 0.75507
[94], 	train loss: 0.0029981	acc: 0.92575
[94], 	val loss: 0.016275	acc: 0.77365
[95], 	train loss: 0.0029581	acc: 0.93069
[95], 	val loss: 0.021832	acc: 0.68919
[96], 	train loss: 0.0028143	acc: 0.93069
[96], 	val loss: 0.017695	acc: 0.73818
[97], 	train loss: 0.0028864	acc: 0.92677
[97], 	val loss: 0.021828	acc: 0.70439
[98], 	train loss: 0.0028476	acc: 0.93188
[98], 	val loss: 0.016206	acc: 0.71453
[99], 	train loss: 0.0029804	acc: 0.92967
[99], 	val loss: 0.013698	acc: 0.71115
[100], 	train loss: 0.0029721	acc: 0.92745
[100], 	val loss: 0.020801	acc: 0.71115
