[1], 	train loss: 0.010455	acc: 0.57289
[1], 	val loss: 0.01043	acc: 0.67736
[2], 	train loss: 0.0094821	acc: 0.66689
[2], 	val loss: 0.0085298	acc: 0.73818
[3], 	train loss: 0.0090146	acc: 0.69619
[3], 	val loss: 0.0091636	acc: 0.72466
[4], 	train loss: 0.0084393	acc: 0.72514
[4], 	val loss: 0.0092693	acc: 0.69932
[5], 	train loss: 0.008166	acc: 0.74472
[5], 	val loss: 0.0080811	acc: 0.75676
[6], 	train loss: 0.0078666	acc: 0.76022
[6], 	val loss: 0.0084252	acc: 0.74155
[7], 	train loss: 0.0075573	acc: 0.77027
[7], 	val loss: 0.0083956	acc: 0.76182
[8], 	train loss: 0.0074345	acc: 0.78099
[8], 	val loss: 0.0073044	acc: 0.79054
[9], 	train loss: 0.0070854	acc: 0.78696
[9], 	val loss: 0.0081439	acc: 0.76014
[10], 	train loss: 0.0070694	acc: 0.78406
[10], 	val loss: 0.0091432	acc: 0.76014
[11], 	train loss: 0.0067012	acc: 0.80313
[11], 	val loss: 0.0079066	acc: 0.77872
[12], 	train loss: 0.0065202	acc: 0.81659
[12], 	val loss: 0.0076426	acc: 0.79054
[13], 	train loss: 0.0063379	acc: 0.81522
[13], 	val loss: 0.0085566	acc: 0.76014
[14], 	train loss: 0.0061776	acc: 0.82084
[14], 	val loss: 0.0076445	acc: 0.78209
[15], 	train loss: 0.00605	acc: 0.82936
[15], 	val loss: 0.0070153	acc: 0.80068
[16], 	train loss: 0.0060919	acc: 0.82868
[16], 	val loss: 0.0074776	acc: 0.80236
[17], 	train loss: 0.0058195	acc: 0.83958
[17], 	val loss: 0.0081852	acc: 0.79392
[18], 	train loss: 0.0057947	acc: 0.84145
[18], 	val loss: 0.0076526	acc: 0.80574
[19], 	train loss: 0.0056275	acc: 0.84554
[19], 	val loss: 0.0081311	acc: 0.76182
[20], 	train loss: 0.0055975	acc: 0.84332
[20], 	val loss: 0.0074595	acc: 0.77872
[21], 	train loss: 0.0056259	acc: 0.84741
[21], 	val loss: 0.0074296	acc: 0.8125
[22], 	train loss: 0.0055767	acc: 0.84656
[22], 	val loss: 0.0077977	acc: 0.77365
[23], 	train loss: 0.0050773	acc: 0.86121
[23], 	val loss: 0.0088003	acc: 0.78209
[24], 	train loss: 0.0051797	acc: 0.86291
[24], 	val loss: 0.0081206	acc: 0.76351
[25], 	train loss: 0.0055463	acc: 0.85184
[25], 	val loss: 0.0079553	acc: 0.80405
[26], 	train loss: 0.0050727	acc: 0.86393
[26], 	val loss: 0.0071393	acc: 0.80574
[27], 	train loss: 0.0044494	acc: 0.87943
[27], 	val loss: 0.0090298	acc: 0.79561
[28], 	train loss: 0.0043983	acc: 0.88249
[28], 	val loss: 0.0076784	acc: 0.79223
[29], 	train loss: 0.0043646	acc: 0.88879
[29], 	val loss: 0.0094672	acc: 0.77365
[30], 	train loss: 0.004599	acc: 0.87551
[30], 	val loss: 0.0083389	acc: 0.78209
[31], 	train loss: 0.0043608	acc: 0.88334
[31], 	val loss: 0.0095107	acc: 0.76689
[32], 	train loss: 0.0041566	acc: 0.88692
[32], 	val loss: 0.0096785	acc: 0.77365
[33], 	train loss: 0.004393	acc: 0.88641
[33], 	val loss: 0.0079713	acc: 0.79899
[34], 	train loss: 0.0043693	acc: 0.88147
[34], 	val loss: 0.0079936	acc: 0.79054
[35], 	train loss: 0.004435	acc: 0.88096
[35], 	val loss: 0.0086635	acc: 0.76689
[36], 	train loss: 0.0042968	acc: 0.88573
[36], 	val loss: 0.00918	acc: 0.78209
[37], 	train loss: 0.0041766	acc: 0.89033
[37], 	val loss: 0.0085193	acc: 0.79899
[38], 	train loss: 0.0043652	acc: 0.88147
[38], 	val loss: 0.0093947	acc: 0.80068
[39], 	train loss: 0.0042549	acc: 0.88999
[39], 	val loss: 0.0096014	acc: 0.78885
[40], 	train loss: 0.0041672	acc: 0.88811
[40], 	val loss: 0.0084176	acc: 0.79899
[41], 	train loss: 0.0042012	acc: 0.88948
[41], 	val loss: 0.0078444	acc: 0.80743
[42], 	train loss: 0.0041955	acc: 0.8905
[42], 	val loss: 0.0090769	acc: 0.7973
[43], 	train loss: 0.0041738	acc: 0.88471
[43], 	val loss: 0.0094511	acc: 0.78041
[44], 	train loss: 0.0041033	acc: 0.89254
[44], 	val loss: 0.0084893	acc: 0.81081
[45], 	train loss: 0.0041186	acc: 0.8939
[45], 	val loss: 0.0099145	acc: 0.77196
[46], 	train loss: 0.0043918	acc: 0.88317
[46], 	val loss: 0.009067	acc: 0.7973
[47], 	train loss: 0.0042176	acc: 0.88743
[47], 	val loss: 0.0079108	acc: 0.80574
[48], 	train loss: 0.0042229	acc: 0.89152
[48], 	val loss: 0.0089759	acc: 0.78378
[49], 	train loss: 0.0040745	acc: 0.89833
[49], 	val loss: 0.00959	acc: 0.78041
[50], 	train loss: 0.0039108	acc: 0.89663
[50], 	val loss: 0.0089485	acc: 0.78716
[51], 	train loss: 0.0040362	acc: 0.89356
[51], 	val loss: 0.0087713	acc: 0.81757
[52], 	train loss: 0.003811	acc: 0.89833
[52], 	val loss: 0.0090541	acc: 0.78885
[53], 	train loss: 0.0042235	acc: 0.88709
[53], 	val loss: 0.0096583	acc: 0.75676
[54], 	train loss: 0.0041217	acc: 0.89595
[54], 	val loss: 0.0095702	acc: 0.76858
[55], 	train loss: 0.0043046	acc: 0.88232
[55], 	val loss: 0.0094473	acc: 0.76014
[56], 	train loss: 0.0041203	acc: 0.89203
[56], 	val loss: 0.0081841	acc: 0.78716
[57], 	train loss: 0.0039998	acc: 0.89816
[57], 	val loss: 0.0092748	acc: 0.76689
[58], 	train loss: 0.0041564	acc: 0.89254
[58], 	val loss: 0.0093143	acc: 0.77703
[59], 	train loss: 0.003879	acc: 0.90361
[59], 	val loss: 0.0083194	acc: 0.78716
[60], 	train loss: 0.0039904	acc: 0.89237
[60], 	val loss: 0.0089551	acc: 0.78209
[61], 	train loss: 0.0041584	acc: 0.88931
[61], 	val loss: 0.008204	acc: 0.79392
[62], 	train loss: 0.0041808	acc: 0.8859
[62], 	val loss: 0.0086489	acc: 0.76351
[63], 	train loss: 0.0040594	acc: 0.8951
[63], 	val loss: 0.0094399	acc: 0.76858
[64], 	train loss: 0.0041318	acc: 0.89237
[64], 	val loss: 0.0099478	acc: 0.79899
[65], 	train loss: 0.0042157	acc: 0.88982
[65], 	val loss: 0.0094084	acc: 0.79054
[66], 	train loss: 0.0041184	acc: 0.89322
[66], 	val loss: 0.0085194	acc: 0.79223
[67], 	train loss: 0.0039421	acc: 0.89714
[67], 	val loss: 0.010361	acc: 0.76351
[68], 	train loss: 0.0042027	acc: 0.89169
[68], 	val loss: 0.009654	acc: 0.78716
[69], 	train loss: 0.0041776	acc: 0.89118
[69], 	val loss: 0.0092117	acc: 0.77872
[70], 	train loss: 0.004148	acc: 0.89612
[70], 	val loss: 0.0091061	acc: 0.79899
