[1], 	train loss: 0.01039	acc: 0.58583
[1], 	val loss: 0.010623	acc: 0.65372
[2], 	train loss: 0.0094198	acc: 0.67456
[2], 	val loss: 0.0090596	acc: 0.70439
[3], 	train loss: 0.0088931	acc: 0.7064
[3], 	val loss: 0.008653	acc: 0.7348
[4], 	train loss: 0.0083282	acc: 0.73552
[4], 	val loss: 0.0082974	acc: 0.7652
[5], 	train loss: 0.0082269	acc: 0.74149
[5], 	val loss: 0.0083871	acc: 0.72973
[6], 	train loss: 0.0079821	acc: 0.75136
[6], 	val loss: 0.0084642	acc: 0.75338
[7], 	train loss: 0.0081834	acc: 0.74591
[7], 	val loss: 0.0087727	acc: 0.75676
[8], 	train loss: 0.007961	acc: 0.75017
[8], 	val loss: 0.0087568	acc: 0.73986
[9], 	train loss: 0.0076107	acc: 0.75954
[9], 	val loss: 0.0080292	acc: 0.77196
[10], 	train loss: 0.0076816	acc: 0.76533
[10], 	val loss: 0.0088686	acc: 0.73649
[11], 	train loss: 0.0075601	acc: 0.76652
[11], 	val loss: 0.0091053	acc: 0.72635
[12], 	train loss: 0.0072615	acc: 0.78014
[12], 	val loss: 0.0092416	acc: 0.71622
[13], 	train loss: 0.0072569	acc: 0.77486
[13], 	val loss: 0.009146	acc: 0.73818
[14], 	train loss: 0.0071802	acc: 0.7827
[14], 	val loss: 0.0090312	acc: 0.73986
[15], 	train loss: 0.0071173	acc: 0.78985
[15], 	val loss: 0.0085756	acc: 0.74493
[16], 	train loss: 0.0070603	acc: 0.78985
[16], 	val loss: 0.0089412	acc: 0.75845
[17], 	train loss: 0.0070218	acc: 0.79343
[17], 	val loss: 0.0088687	acc: 0.72635
[18], 	train loss: 0.0068607	acc: 0.79632
[18], 	val loss: 0.00972	acc: 0.73818
[19], 	train loss: 0.0067151	acc: 0.80688
[19], 	val loss: 0.0097154	acc: 0.71791
[20], 	train loss: 0.0066777	acc: 0.80024
[20], 	val loss: 0.0086864	acc: 0.73142
[21], 	train loss: 0.006353	acc: 0.81914
[21], 	val loss: 0.0086602	acc: 0.76689
[22], 	train loss: 0.0062676	acc: 0.81931
[22], 	val loss: 0.0094616	acc: 0.74324
[23], 	train loss: 0.006112	acc: 0.81931
[23], 	val loss: 0.0097443	acc: 0.72973
[24], 	train loss: 0.005981	acc: 0.82953
[24], 	val loss: 0.010369	acc: 0.74324
[25], 	train loss: 0.0059621	acc: 0.82255
[25], 	val loss: 0.010239	acc: 0.72635
[26], 	train loss: 0.0058654	acc: 0.83072
[26], 	val loss: 0.0095593	acc: 0.73142
[27], 	train loss: 0.006192	acc: 0.81676
[27], 	val loss: 0.01091	acc: 0.72466
[28], 	train loss: 0.0058685	acc: 0.82698
[28], 	val loss: 0.0093775	acc: 0.75845
[29], 	train loss: 0.0059822	acc: 0.82323
[29], 	val loss: 0.0088515	acc: 0.76689
[30], 	train loss: 0.0058605	acc: 0.82868
[30], 	val loss: 0.0094179	acc: 0.74493
[31], 	train loss: 0.0058042	acc: 0.83668
[31], 	val loss: 0.010116	acc: 0.74493
[32], 	train loss: 0.0059521	acc: 0.83021
[32], 	val loss: 0.0092026	acc: 0.74324
[33], 	train loss: 0.0057922	acc: 0.83396
[33], 	val loss: 0.0099722	acc: 0.74155
[34], 	train loss: 0.0055917	acc: 0.83924
[34], 	val loss: 0.0094721	acc: 0.73818
[35], 	train loss: 0.0058846	acc: 0.83515
[35], 	val loss: 0.0086045	acc: 0.76689
[36], 	train loss: 0.0059278	acc: 0.83345
[36], 	val loss: 0.0099097	acc: 0.72635
[37], 	train loss: 0.0057419	acc: 0.83515
[37], 	val loss: 0.0091864	acc: 0.74831
[38], 	train loss: 0.0058106	acc: 0.83447
[38], 	val loss: 0.0087904	acc: 0.7652
[39], 	train loss: 0.0057728	acc: 0.828
[39], 	val loss: 0.010002	acc: 0.73649
[40], 	train loss: 0.0057925	acc: 0.83822
[40], 	val loss: 0.0089533	acc: 0.75169
[41], 	train loss: 0.0058363	acc: 0.83839
[41], 	val loss: 0.0085207	acc: 0.76858
[42], 	train loss: 0.0057365	acc: 0.83736
[42], 	val loss: 0.0094013	acc: 0.76014
[43], 	train loss: 0.0055929	acc: 0.84145
[43], 	val loss: 0.0097562	acc: 0.73986
[44], 	train loss: 0.0057566	acc: 0.83685
[44], 	val loss: 0.0101	acc: 0.72128
[45], 	train loss: 0.0060178	acc: 0.82442
[45], 	val loss: 0.0097171	acc: 0.73142
[46], 	train loss: 0.0057465	acc: 0.83413
[46], 	val loss: 0.010335	acc: 0.72466
[47], 	train loss: 0.0056599	acc: 0.84009
[47], 	val loss: 0.009853	acc: 0.75338
[48], 	train loss: 0.0057995	acc: 0.83055
[48], 	val loss: 0.0091586	acc: 0.75
[49], 	train loss: 0.0059833	acc: 0.83191
[49], 	val loss: 0.0087973	acc: 0.75
[50], 	train loss: 0.0057495	acc: 0.83362
[50], 	val loss: 0.0093708	acc: 0.75
[51], 	train loss: 0.0059017	acc: 0.83208
[51], 	val loss: 0.0088047	acc: 0.76182
[52], 	train loss: 0.0056091	acc: 0.84435
[52], 	val loss: 0.0098781	acc: 0.75169
