[1], 	train loss: 0.010867	acc: 0.508
[1], 	val loss: 0.011664	acc: 0.5
[2], 	train loss: 0.010885	acc: 0.49131
[2], 	val loss: 0.011692	acc: 0.5
[3], 	train loss: 0.010734	acc: 0.53713
[3], 	val loss: 0.010826	acc: 0.60304
[4], 	train loss: 0.010422	acc: 0.5705
[4], 	val loss: 0.011036	acc: 0.55236
[5], 	train loss: 0.010411	acc: 0.57578
[5], 	val loss: 0.010796	acc: 0.57432
[6], 	train loss: 0.010357	acc: 0.57272
[6], 	val loss: 0.010962	acc: 0.57939
[7], 	train loss: 0.010373	acc: 0.58174
[7], 	val loss: 0.010939	acc: 0.57264
[8], 	train loss: 0.010339	acc: 0.59043
[8], 	val loss: 0.010572	acc: 0.60135
[9], 	train loss: 0.010304	acc: 0.60371
[9], 	val loss: 0.010962	acc: 0.6098
[10], 	train loss: 0.010315	acc: 0.58089
[10], 	val loss: 0.010773	acc: 0.61486
[11], 	train loss: 0.01025	acc: 0.60082
[11], 	val loss: 0.01062	acc: 0.6098
[12], 	train loss: 0.010283	acc: 0.59724
[12], 	val loss: 0.01083	acc: 0.59966
[13], 	train loss: 0.010247	acc: 0.61104
[13], 	val loss: 0.011371	acc: 0.55743
[14], 	train loss: 0.010281	acc: 0.59571
[14], 	val loss: 0.010529	acc: 0.59122
[15], 	train loss: 0.010154	acc: 0.61325
[15], 	val loss: 0.01025	acc: 0.62331
[16], 	train loss: 0.010212	acc: 0.61563
[16], 	val loss: 0.010599	acc: 0.63514
[17], 	train loss: 0.010116	acc: 0.62568
[17], 	val loss: 0.010372	acc: 0.62838
[18], 	train loss: 0.01019	acc: 0.61512
[18], 	val loss: 0.010258	acc: 0.64358
[19], 	train loss: 0.01	acc: 0.63403
[19], 	val loss: 0.010463	acc: 0.65034
[20], 	train loss: 0.010087	acc: 0.62653
[20], 	val loss: 0.010503	acc: 0.64865
[21], 	train loss: 0.010039	acc: 0.62738
[21], 	val loss: 0.010516	acc: 0.61318
[22], 	train loss: 0.010125	acc: 0.6158
[22], 	val loss: 0.010386	acc: 0.61318
[23], 	train loss: 0.010027	acc: 0.62704
[23], 	val loss: 0.010694	acc: 0.61824
[24], 	train loss: 0.0099407	acc: 0.62534
[24], 	val loss: 0.010114	acc: 0.65541
[25], 	train loss: 0.0098725	acc: 0.6359
[25], 	val loss: 0.010238	acc: 0.62669
[26], 	train loss: 0.0099762	acc: 0.633
[26], 	val loss: 0.010083	acc: 0.64358
[27], 	train loss: 0.0099556	acc: 0.62858
[27], 	val loss: 0.010421	acc: 0.63007
[28], 	train loss: 0.0099194	acc: 0.63471
[28], 	val loss: 0.010356	acc: 0.66723
[29], 	train loss: 0.0099678	acc: 0.6313
[29], 	val loss: 0.01023	acc: 0.65203
[30], 	train loss: 0.0097914	acc: 0.64118
[30], 	val loss: 0.010624	acc: 0.61486
[31], 	train loss: 0.010007	acc: 0.63011
[31], 	val loss: 0.010202	acc: 0.63176
[32], 	train loss: 0.0098565	acc: 0.63607
[32], 	val loss: 0.010303	acc: 0.63345
[33], 	train loss: 0.0099466	acc: 0.63556
[33], 	val loss: 0.010434	acc: 0.64696
[34], 	train loss: 0.0099049	acc: 0.63777
[34], 	val loss: 0.010546	acc: 0.62162
[35], 	train loss: 0.009954	acc: 0.64033
[35], 	val loss: 0.010042	acc: 0.66047
[36], 	train loss: 0.0098786	acc: 0.6422
[36], 	val loss: 0.010392	acc: 0.64527
[37], 	train loss: 0.0099548	acc: 0.6342
[37], 	val loss: 0.010215	acc: 0.63007
[38], 	train loss: 0.009876	acc: 0.63232
[38], 	val loss: 0.0098518	acc: 0.66047
[39], 	train loss: 0.0097049	acc: 0.6514
[39], 	val loss: 0.010286	acc: 0.63345
[40], 	train loss: 0.0098232	acc: 0.65106
[40], 	val loss: 0.010392	acc: 0.64696
[41], 	train loss: 0.0097473	acc: 0.64561
[41], 	val loss: 0.0098837	acc: 0.66723
[42], 	train loss: 0.0097621	acc: 0.63794
[42], 	val loss: 0.01024	acc: 0.64865
[43], 	train loss: 0.0096277	acc: 0.64952
[43], 	val loss: 0.0097401	acc: 0.67568
[44], 	train loss: 0.009701	acc: 0.6485
[44], 	val loss: 0.0098872	acc: 0.66047
[45], 	train loss: 0.0097609	acc: 0.64135
[45], 	val loss: 0.0096303	acc: 0.66554
[46], 	train loss: 0.009597	acc: 0.65923
[46], 	val loss: 0.010266	acc: 0.63682
[47], 	train loss: 0.0096679	acc: 0.65054
[47], 	val loss: 0.0098215	acc: 0.66554
[48], 	train loss: 0.009666	acc: 0.65514
[48], 	val loss: 0.010394	acc: 0.64358
[49], 	train loss: 0.009633	acc: 0.65089
[49], 	val loss: 0.010286	acc: 0.66385
[50], 	train loss: 0.0097615	acc: 0.64782
[50], 	val loss: 0.0098409	acc: 0.65034
[51], 	train loss: 0.009715	acc: 0.64714
[51], 	val loss: 0.010048	acc: 0.66216
[52], 	train loss: 0.0095882	acc: 0.65089
[52], 	val loss: 0.0098712	acc: 0.68243
[53], 	train loss: 0.0096315	acc: 0.66008
[53], 	val loss: 0.010012	acc: 0.66385
[54], 	train loss: 0.0095606	acc: 0.66553
[54], 	val loss: 0.010166	acc: 0.66892
[55], 	train loss: 0.0096957	acc: 0.65838
[55], 	val loss: 0.0097369	acc: 0.69764
[56], 	train loss: 0.009668	acc: 0.66196
[56], 	val loss: 0.010207	acc: 0.67061
[57], 	train loss: 0.009481	acc: 0.66809
[57], 	val loss: 0.010279	acc: 0.67061
[58], 	train loss: 0.0094736	acc: 0.66723
[58], 	val loss: 0.010718	acc: 0.61486
[59], 	train loss: 0.009438	acc: 0.66519
[59], 	val loss: 0.0095643	acc: 0.69426
[60], 	train loss: 0.0093422	acc: 0.67626
[60], 	val loss: 0.010073	acc: 0.67736
[61], 	train loss: 0.0093104	acc: 0.68171
[61], 	val loss: 0.0097406	acc: 0.66892
[62], 	train loss: 0.0093827	acc: 0.66553
[62], 	val loss: 0.010277	acc: 0.65709
[63], 	train loss: 0.0092527	acc: 0.67779
[63], 	val loss: 0.0097142	acc: 0.68919
[64], 	train loss: 0.0093724	acc: 0.66962
[64], 	val loss: 0.00971	acc: 0.66723
[65], 	train loss: 0.0093772	acc: 0.67217
[65], 	val loss: 0.010129	acc: 0.6875
[66], 	train loss: 0.0094276	acc: 0.67251
[66], 	val loss: 0.0098773	acc: 0.67568
[67], 	train loss: 0.009447	acc: 0.672
[67], 	val loss: 0.0098892	acc: 0.69257
[68], 	train loss: 0.009512	acc: 0.66519
[68], 	val loss: 0.01024	acc: 0.67061
[69], 	train loss: 0.0093756	acc: 0.67183
[69], 	val loss: 0.0095396	acc: 0.66892
[70], 	train loss: 0.0095085	acc: 0.66298
[70], 	val loss: 0.0099734	acc: 0.64527
[71], 	train loss: 0.0094773	acc: 0.67064
[71], 	val loss: 0.0099261	acc: 0.65203
[72], 	train loss: 0.0094698	acc: 0.66689
[72], 	val loss: 0.010563	acc: 0.6402
[73], 	train loss: 0.0095414	acc: 0.66025
[73], 	val loss: 0.010075	acc: 0.65541
[74], 	train loss: 0.0094226	acc: 0.67013
[74], 	val loss: 0.0098082	acc: 0.66385
[75], 	train loss: 0.0093589	acc: 0.6686
[75], 	val loss: 0.0096438	acc: 0.70608
[76], 	train loss: 0.0093568	acc: 0.67626
[76], 	val loss: 0.010259	acc: 0.68074
[77], 	train loss: 0.0094528	acc: 0.66979
[77], 	val loss: 0.010424	acc: 0.6402
[78], 	train loss: 0.0093628	acc: 0.67422
[78], 	val loss: 0.010384	acc: 0.65878
[79], 	train loss: 0.0093391	acc: 0.67967
[79], 	val loss: 0.0094764	acc: 0.68412
[80], 	train loss: 0.0092258	acc: 0.68648
[80], 	val loss: 0.010349	acc: 0.65541
[81], 	train loss: 0.0091666	acc: 0.68767
[81], 	val loss: 0.010347	acc: 0.66047
[82], 	train loss: 0.0093295	acc: 0.67319
[82], 	val loss: 0.010041	acc: 0.66047
[83], 	train loss: 0.0094998	acc: 0.65821
[83], 	val loss: 0.0098062	acc: 0.67905
[84], 	train loss: 0.0092734	acc: 0.67864
[84], 	val loss: 0.010116	acc: 0.66892
[85], 	train loss: 0.0094561	acc: 0.66587
[85], 	val loss: 0.009726	acc: 0.67399
[86], 	train loss: 0.0092508	acc: 0.68443
[86], 	val loss: 0.010215	acc: 0.66216
[87], 	train loss: 0.0093157	acc: 0.67354
[87], 	val loss: 0.0097871	acc: 0.66723
[88], 	train loss: 0.0092161	acc: 0.68631
[88], 	val loss: 0.010148	acc: 0.67061
[89], 	train loss: 0.0093384	acc: 0.68188
[89], 	val loss: 0.0096419	acc: 0.69595
[90], 	train loss: 0.0092834	acc: 0.67694
[90], 	val loss: 0.010021	acc: 0.68074
[91], 	train loss: 0.0093558	acc: 0.67388
[91], 	val loss: 0.010154	acc: 0.68243
[92], 	train loss: 0.0093267	acc: 0.67711
[92], 	val loss: 0.0097275	acc: 0.67905
[93], 	train loss: 0.0093222	acc: 0.68035
[93], 	val loss: 0.010081	acc: 0.68074
[94], 	train loss: 0.0092899	acc: 0.67081
[94], 	val loss: 0.0096917	acc: 0.68243
[95], 	train loss: 0.0093829	acc: 0.66655
[95], 	val loss: 0.010014	acc: 0.68919
[96], 	train loss: 0.0093682	acc: 0.67166
[96], 	val loss: 0.010321	acc: 0.6723
[97], 	train loss: 0.0092755	acc: 0.68222
[97], 	val loss: 0.0099216	acc: 0.67061
[98], 	train loss: 0.0093826	acc: 0.67422
[98], 	val loss: 0.010136	acc: 0.66892
[99], 	train loss: 0.0091666	acc: 0.69329
[99], 	val loss: 0.0095211	acc: 0.66385
[100], 	train loss: 0.0092608	acc: 0.67217
[100], 	val loss: 0.0098199	acc: 0.65034
